modal,verb,mod.type,modality
can,find,OTHER,MODAL
should,stop,OTHER,MODAL
should,recognise,OTHER,MODAL
will,cost,OTHER,MODAL
might,think,OTHER,MODAL
can,sink,OTHER,MODAL
can,change,OTHER,MODAL
must,help,MUST,MODAL
ll,help,OTHER,MODAL
ll,take,OTHER,MODAL
ll,take,OTHER,MODAL
will,go,OTHER,MODAL
must,accept,MUST,MODAL
could,face,OTHER,MODAL
ll,cost,OTHER,MODAL
can,save,OTHER,MODAL
might,think,OTHER,MODAL
can,sink,OTHER,MODAL
would,meet,OTHER,MODAL
will,raise,OTHER,MODAL
could,save,OTHER,MODAL
could,admire,OTHER,MODAL
will,appear,OTHER,MODAL
will,provide,OTHER,MODAL
will,benefit,OTHER,MODAL
will,present,OTHER,MODAL
s,set,OTHER,MODAL
can,see,OTHER,MODAL
will,try,OTHER,MODAL
could,save,OTHER,MODAL
can,reduce,OTHER,MODAL
may,mean,OTHER,MODAL
can,save,OTHER,MODAL
can,continue,OTHER,MODAL
should,cut,OTHER,MODAL
can,follow,OTHER,MODAL
will,drive,OTHER,MODAL
ll,win,OTHER,MODAL
would,admit,OTHER,MODAL
could,unleash,OTHER,MODAL
ll,find,OTHER,MODAL
ll,spend,OTHER,MODAL
can,tell,OTHER,MODAL
can,hurt,OTHER,MODAL
will,battle,OTHER,MODAL
ll,find,OTHER,MODAL
can,beat,OTHER,MODAL
will,want,OTHER,MODAL
must,get,MUST,MODAL
will,discuss,OTHER,MODAL
ll,appeal,OTHER,MODAL
d,take,OTHER,MODAL
ll,mean,OTHER,MODAL
d,cut,OTHER,MODAL
d,cut,OTHER,MODAL
might,lose,OTHER,MODAL
can,pull,OTHER,MODAL
could,cut,OTHER,MODAL
can,provide,OTHER,MODAL
could,inflict,OTHER,MODAL
could,force,OTHER,MODAL
can,expect,OTHER,MODAL
will,go,OTHER,MODAL
would,spell,OTHER,MODAL
could,die,OTHER,MODAL
will,travel,OTHER,MODAL
ll,set,OTHER,MODAL
ll,take,OTHER,MODAL
can,reproduce,OTHER,MODAL
will,work,OTHER,MODAL
could,provide,OTHER,MODAL
will,work,OTHER,MODAL
ll,see,OTHER,MODAL
would,leave,OTHER,MODAL
would,face,OTHER,MODAL
may,help,OTHER,MODAL
will,exhaust,OTHER,MODAL
ll,move,OTHER,MODAL
can,work,OTHER,MODAL
will,start,OTHER,MODAL
ll,look,OTHER,MODAL
could,mean,OTHER,MODAL
will,balance,OTHER,MODAL
could,face,OTHER,MODAL
would,imagine,OTHER,MODAL
can,make,OTHER,MODAL
could,happen,OTHER,MODAL
ll,vote,OTHER,MODAL
would,need,OTHER,MODAL
will,take,OTHER,MODAL
could,take,OTHER,MODAL
can,work,OTHER,MODAL
will,re-appear,OTHER,MODAL
ll,agree,OTHER,MODAL
would,change,OTHER,MODAL
would,lose,OTHER,MODAL
would,change,OTHER,MODAL
will,look,OTHER,MODAL
may,mean,OTHER,MODAL
can,predict,OTHER,MODAL
would,destroy,OTHER,MODAL
will,take,OTHER,MODAL
will,determine,OTHER,MODAL
will,begin,OTHER,MODAL
will,go,OTHER,MODAL
will,start,OTHER,MODAL
would,bring,OTHER,MODAL
could,link,OTHER,MODAL
ll,continue,OTHER,MODAL
